,Unnamed: 0.1,time
0,-0.3,0.21179138322
1,0.7,10.8421768707
2,1.7,22.1891156463
3,2.7,33.273015873
4,3.7,45.966893424
5,4.7,59.273015873
6,5.7,73.5088435374
7,6.7,85.60861678
8,7.7,97.3727891156
9,8.7,108.084807256
10,9.7,120.270748299
11,10.7,134.438548753
12,150.7,148.019836877
13,11.7,160.365986395
14,12.7,175.250340136
15,13.7,187.572335601
16,14.7,198.284353741
17,15.7,209.540589569
18,16.7,219.880725624
19,17.7,231.359183673
20,18.7,242.601814059
21,19.7,254.198185941
22,20.7,266.125623583
23,21.7,276.660770975
24,22.7,287.304761905
25,23.7,297.663038549
26,24.7,308.66984127
27,25.7,319.304761905
28,26.7,329.214058957
29,27.7,339.508843537
30,28.7,349.390929705
31,29.7,360.216326531
32,30.7,369.876190476
33,31.7,381.282086168
34,32.7,392.660770975
35,33.7,403.300226757
36,34.7,413.477097506
37,35.7,424.053061224
38,36.7,435.06893424
39,37.7,444.678911565
40,38.7,456.370521542
41,39.7,467.06893424
42,40.7,477.549659864
43,151.7,488.595493286
44,41.7,497.799092971
45,43.7,507.554195011
46,46.7,519.019047619
47,48.7,529.994104308
48,51.7,541.83537415
49,53.7,552.166439909
50,55.7,562.873922902
51,58.7,576.066666667
52,60.7,585.572335601
53,62.7,595.291156463
54,63.7,606.406802721
55,66.7,617.123356009
56,68.7,628.638095238
57,70.7,640.805895692
58,72.7,653.028117914
59,74.7,664.842176871
60,76.7,675.114285714
61,79.7,687.635827664
62,81.7,699.563265306
63,85.7,713.717460317
64,87.7,727.644897959
65,90.7,740.121088435
66,93.7,752.674376417
67,96.7,765.458956916
68,99.7,778.411337868
69,102.7,791.032653061
70,104.7,803.132426304
71,107.7,815.363718821
72,110.7,826.048526077
73,111.7,836.65170068
74,113.7,847.985034014
75,115.7,859.227664399
76,117.7,870.288888889
77,120.7,881.472562358
78,122.7,891.92154195
79,126.7,904.166439909
80,128.7,916.125623583
81,130.7,927.19138322
82,132.7,939.640362812
83,135.7,951.327437642
84,137.7,963.681179138
85,140.7,975.830839002
86,142.7,988.456689342
87,145.7,1000.87845805
