,Unnamed: 0.1,time
0,-0.1,0.053514739229
1,0.9,4.41179138322
2,1.9,8.92879818594
3,2.9,13.3414965986
4,3.9,17.4911564626
5,4.9,21.7723356009
6,5.9,25.9854875283
7,6.9,30.2802721088
8,7.9,34.3845804989
9,8.9,38.3891156463
10,9.9,42.3392290249
11,10.9,46.398185941
12,11.9,50.652154195
13,12.9,54.6612244898
14,13.9,58.4979591837
15,14.9,62.5795918367
16,15.9,66.6929705215
17,16.9,70.8426303855
18,17.9,75.3188208617
19,18.9,79.4775510204
20,19.9,83.4412698413
21,20.9,87.2326530612
22,21.9,90.652154195
23,22.9,94.3482993197
24,23.9,97.9854875283
25,24.9,101.940136054
26,25.9,105.681632653
27,26.9,109.341496599
28,27.9,113.713378685
29,28.9,117.999092971
30,29.9,121.881179138
31,30.9,125.726984127
32,31.9,129.745124717
33,32.9,133.758730159
34,33.9,137.58185941
35,34.9,141.486621315
36,35.9,145.622675737
37,36.9,148.724716553
38,37.9,152.883446712
39,38.9,156.856235828
40,39.9,160.312018141
41,40.9,163.082993197
42,41.9,166.166893424
43,42.9,169.28707483
44,43.9,172.24399093
45,44.9,174.860770975
46,45.9,177.39138322
47,46.9,180.416326531
48,47.9,183.300680272
49,48.9,185.758730159
50,49.9,188.484353741
51,50.9,191.296145125
52,51.9,194.652154195
53,52.9,197.30521542
54,53.9,200.983219955
55,54.9,203.795011338
56,82.9,207.20522315
57,55.9,211.822222222
58,56.9,214.166893424
59,57.9,216.665759637
60,58.9,219.318820862
61,59.9,221.80861678
62,,224.095094647
63,60.9,226.520634921
64,61.9,229.07845805
65,,231.25242036
66,62.9,233.763265306
67,63.9,236.130612245
68,64.9,238.720181406
69,,240.849743476
70,65.9,243.314285714
71,66.9,246.062585034
72,67.9,248.488888889
73,68.9,251.223582766
74,69.9,253.518367347
75,,255.489727889
76,70.9,258.003628118
77,71.9,260.756462585
78,72.9,263.486621315
79,73.9,265.971882086
80,,268.340380875
81,,271.593710744
82,,274.521707627
83,,277.124371523
84,,279.889701912
85,,282.492365808
86,,285.908362171
87,,288.348359573
