,Unnamed: 0.1,time
0,-0.05,0.335487528345
1,1.95,12.435260771
2,3.95,24.203968254
3,5.95,36.0180272109
4,7.95,47.5418367347
5,9.95,59.1744897959
6,11.95,70.7572562358
7,13.95,82.330952381
8,14.95,94.076984127
9,15.95,105.641609977
10,17.95,117.197165533
11,18.95,128.757256236
12,19.95,140.28106576
13,20.95,151.936394558
14,21.95,163.569047619
15,22.95,175.174489796
16,23.95,186.798072562
17,24.95,198.444331066
18,25.95,210.838888889
19,26.95,222.362698413
20,27.95,233.877437642
21,28.95,245.346825397
22,29.95,256.893310658
23,30.95,269.269727891
24,31.95,280.88877551
25,32.95,292.435260771
26,33.95,303.936394558
27,34.95,315.419387755
28,35.95,326.902380952
29,36.95,338.362698413
30,37.95,349.696031746
31,38.95,361.042970522
32,39.95,372.539569161
33,40.95,384.067913832
34,41.95,395.442063492
35,42.95,406.643877551
36,43.95,417.84569161
37,44.95,429.732312925
38,45.95,441.029365079
39,46.95,452.231179138
40,47.95,464.199433107
41,48.95,476.135941043
42,49.95,487.169954649
43,50.95,499.056575964
44,52.95,510.68015873
45,54.95,522.249319728
46,56.95,533.487414966
47,,544.575407514
48,60.95,556.389909297
49,62.95,567.963605442
50,64.95,579.641609977
51,66.95,591.183560091
52,67.95,602.739115646
53,68.95,613.8638322
54,69.95,625.083786848
55,70.95,636.439795918
56,71.95,648.067913832
57,72.95,659.41031746
58,73.95,670.748185941
59,75.95,682.512358277
60,76.95,693.95
61,77.95,705.764058957
62,78.95,717.473809524
63,79.95,730.095124717
64,80.95,741.451133787
65,81.95,752.684693878
66,82.95,763.872902494
67,83.95,775.09739229
68,84.95,786.303741497
69,85.95,797.600793651
70,86.95,808.893310658
71,87.95,820.172222222
72,88.95,831.374036281
73,89.95,842.48968254
74,90.95,853.795804989
75,91.95,864.893310658
76,92.95,876.172222222
77,93.95,887.591723356
78,94.95,899.432993197
79,95.95,910.693764172
80,96.95,921.750453515
81,97.95,933.01122449
82,98.95,944.267460317
83,99.95,955.419387755
84,100.95,966.643877551
85,101.95,977.451133787
86,102.95,988.539569161
87,103.95,999.691496599
