,Unnamed: 0.1,time
0,0,0.987755102041
1,1,12.3755102041
2,2,24.8925170068
3,3,35.2281179138
4,4,46.5206349206
5,5,57.9628117914
6,6,70.2666666667
7,7,84.0444444444
8,8,97.1102040816
9,9,106.411791383
10,10,115.300680272
11,11,125.200907029
12,12,135.07845805
13,13,145.590929705
14,14,155.169160998
15,15,165.940136054
16,16,176.833560091
17,17,186.407256236
18,18,197.155555556
19,19,206.806349206
20,20,216.375510204
21,21,226.157823129
22,22,236.751927438
23,23,246.801814059
24,24,257.604535147
25,25,267.26893424
26,26,278.216780045
27,27,289.055782313
28,28,299.631746032
29,29,309.79047619
30,30,320.01723356
31,31,330.117006803
32,32,341.214512472
33,33,350.416326531
34,34,360.865306122
35,35,370.965079365
36,36,381.658956916
37,37,391.899319728
38,38,401.72244898
39,39,411.37324263
40,40,421.069387755
41,41,431.191836735
42,42,441.441269841
43,43,451.259863946
44,44,461.636281179
45,45,471.436734694
46,46,481.395918367
47,47,491.364172336
48,48,502.162358277
49,49,511.93106576
50,50,521.087528345
51,51,530.629478458
52,127,540.75239538
53,52,550.815419501
54,54,559.672562358
55,55,569.649886621
56,58,580.198639456
57,60,589.831292517
58,62,599.822222222
59,65,610.597732426
60,68,620.810884354
61,70,630.402721088
62,73,641.024036281
63,75,649.72244898
64,76,659.93106576
65,78,670.008163265
66,79,679.092063492
67,82,689.554648526
68,84,699.395918367
69,86,710.615873016
70,88,722.03537415
71,90,732.117006803
72,92,743.404988662
73,94,754.996825397
74,96,768.058049887
75,99,781.590929705
76,102,793.595464853
77,104,806.384580499
78,106,817.926530612
79,108,828.670294785
80,110,838.706575964
81,112,847.899319728
82,113,857.37324263
83,116,869.37324263
84,118,879.019501134
85,120,890.307482993
86,121,901.72244898
87,123,914.271201814
