,Unnamed: 0,Unnamed: 0.1,env_delta,env_max,env_mean,env_std,time
0,0,0,6.96196575762,-34.8216585916,-38.2571040339,1.94686328475,1.67183673469
1,1,1,7.37025109855,-34.4133732507,-38.4931583066,2.20433140862,7.34911564626
2,2,2,6.76781832569,-35.0158060236,-38.2996808197,1.80343431674,13.3340589569
3,3,3,6.52310264061,-35.2605217086,-39.3082778322,2.00597728304,18.1870294785
4,4,4,7.66295137086,-34.1206729784,-37.0950426419,1.88313462134,23.6495238095
5,5,5,5.78834376916,-35.9952805801,-37.8626960733,1.01180303081,28.7869387755
6,6,6,9.75328656775,-32.0303377815,-34.0263586265,1.19525994266,34.3423129252
7,7,7,10.3265290528,-31.4570952965,-33.4191373456,1.11728057438,39.2649433107
8,8,8,11.4176287805,-30.3659955688,-34.6724173837,1.47263559777,43.949569161
9,9,9,5.22776432362,-36.5558600256,-39.18617284,1.56484318668,48.4774603175
