,env_delta,env_max,env_mean,env_std,time
0,15.9101666931,-25.4936065799,-28.7419600747,2.39109667645,2.24653061224
1,16.5505299809,-24.8532432921,-27.9998142309,2.99857755651,8.82358276644
2,15.6140444028,-25.7897288703,-28.5249282796,3.11885000458,15.307755102
3,16.9735770945,-24.4301961785,-28.1884688872,3.47259645993,21.8964172336
4,16.0654946337,-25.3382786393,-28.2956965917,2.43258752403,27.4459863946
5,14.2576262059,-27.1461470671,-29.6976570454,2.38115238052,34.0810884354
6,17.9877302433,-23.4160430297,-27.25393439,3.38626498886,40.4665759637
7,17.9782257167,-23.4255475563,-26.9832318863,3.14382248316,46.1090249433
8,15.9157698669,-25.4880034061,-29.5040884545,3.23007550403,53.0808163265
9,20.0151987085,-21.3885745645,-25.2683752142,3.40610963636,58.0092517007
10,17.6937891882,-23.7099840848,-28.1107875846,3.22334168744,63.4891609977
11,15.8735119177,-25.5302613553,-28.2660358099,2.71015028438,69.2302947846
