,Unnamed: 0,env_delta,env_max,env_mean,env_std,time
0,0.0,9.59695082736598,-24.674879243048004,-26.76326855074927,1.2481167285243222,0.5224489795918368
1,1.0,9.911679593826342,-24.360150476587638,-26.854334880030123,1.205550180288232,3.599092970521542
2,2.0,5.580716645661397,-28.691113424752587,-33.961001361526606,2.551992070132963,6.896326530612245
3,3.0,2.6044455964238225,-31.667384473990158,-36.26650299200121,2.3812443568222017,9.914920634920636
4,4.0,9.681093919616828,-24.590736150797163,-28.437645495258778,2.006989780962895,16.172698412698413
5,5.0,7.3569080790312675,-26.91492199138272,-29.786907693927144,2.541682843464112,19.10421768707483
6,6.0,9.257952457548818,-25.013877612865173,-27.261642949545173,1.2469834940430746,21.960272108843537
7,7.0,4.700823704403575,-29.57100636601041,-32.404051894763604,1.8715227232383185,25.031111111111112
8,8.0,12.502764001304538,-21.76906606910945,-24.706325076504122,1.824378411511189,28.22385487528345
9,9.0,12.827687397990832,-21.444142672423148,-23.02305939352817,0.9752353904116496,31.410793650793646
10,10.0,11.205725638436713,-23.066104431977266,-25.427488133220443,1.5059281714597943,34.7718820861678
11,,,,,,13.213019347523954
