,env_delta,env_max,env_mean,env_std,time
0,8.53280364345,-29.3737075405,-31.6096550516,1.31119623081,3.04761904762
1,8.93750940981,-28.9690017741,-30.9094494784,1.03921987752,12.1208163265
2,8.54040058259,-29.3661106013,-31.265631695,0.870070370662,21.1011337868
3,10.5950071559,-27.311504028,-28.7320211548,0.791917287722,29.7331519274
4,11.385317511,-26.521193673,-27.6082212494,0.710251820228,38.6031746032
5,11.6341963983,-26.2723147857,-27.2043894369,0.376503073605,47.7344217687
6,11.6926660785,-26.2138451054,-27.2638227932,0.917853211288,57.3590929705
7,8.90978200916,-28.9967291748,-29.7679076971,0.413192354051,66.5890249433
8,13.2179029732,-24.6886082108,-25.2021372433,0.286644062381,75.9118367347
9,11.6008477088,-26.3056634751,-27.0137662282,0.348744281086,84.926984127
10,13.2929809727,-24.6135302112,-25.320266189,0.293559281104,94.325260771
11,12.0222861478,-25.8842250362,-26.7609296382,0.278217133616,103.607437642
