,Unnamed: 0,Unnamed: 0.1,env_delta,env_max,env_mean,env_std,time
0,0,0,6.27790358322,-29.8479994506,-31.2688082839,0.503825081163,2.130430839
1,1,1,11.9874780565,-24.1384249773,-27.1255573617,2.77684620857,10.7334240363
2,2,2,11.3274840637,-24.7984189701,-29.0311458507,2.30321897203,19.9169160998
3,3,3,8.11303932684,-28.012863707,-31.0938434172,1.78872623104,29.1004081633
4,4,4,7.59272400136,-28.5331790324,-31.0478037892,1.67910984188,38.0400907029
5,5,5,8.37103316002,-27.7548698738,-28.8488600792,0.622784577393,47.4499773243
6,6,6,9.6172993397,-26.5086036941,-31.1547183508,2.37095026862,56.6102494331
7,7,7,11.9369338285,-24.1889692053,-26.7610002495,1.64521187758,65.288707483
8,8,8,14.3915656746,-21.7343373592,-24.6412898909,2.90209966281,73.7465759637
9,9,9,7.25035273905,-28.8755502947,-32.0421842031,2.83946612448,83.0345578231
10,10,10,5.98210564638,-30.1437973874,-33.7240669347,3.00906828518,93.001723356
11,11,11,7.99811132508,-28.1277917087,-30.7323328466,1.86766895794,101.918185941
