,Unnamed: 0,Unnamed: 0.1,env_delta,env_max,env_mean,env_std,time
0,1,2.0,7.3166069769,-35.7980687338,-40.6929706534,2.14337850762,24.5028571429
1,2,3.0,9.04853275788,-34.0661429528,-39.6351776916,2.13866896235,29.7505668934
2,3,4.0,9.43881400162,-33.6758617091,-37.6902673825,1.85705385715,35.3117460317
3,4,5.0,9.18256878438,-33.9321069263,-36.9892546047,1.84397512032,40.7045804989
4,5,6.0,5.38412732136,-37.7305483893,-40.4147753885,1.16618153254,46.0567800454
5,6,7.0,3.19808206576,-39.9165936449,-41.6758426767,0.737664114617,51.7630839002
6,7,,,,,,1.56764928193
7,8,,,,,,7.73710774632
8,9,,,,,,13.1480262356
9,10,,,,,,18.9129300466
