,Unnamed: 0,Unnamed: 0.1,env_delta,env_max,env_mean,env_std,time
0,0,0,15.3104539374,-22.5832741555,-30.4946641127,4.44787160345,0.615328798186
1,1,1,13.1937273569,-24.7000007359,-31.2423289645,2.38204337209,3.88934240363
2,2,2,12.1582344059,-25.7354936869,-32.9862716907,3.44709382455,7.60453514739
3,3,3,8.29037828852,-29.6033498043,-36.5757831396,3.53058014406,11.06430839
4,4,4,10.5460159894,-27.3477121035,-33.0726442666,2.37276296563,14.6517913832
5,5,5,7.07851557136,-30.8152125215,-36.262456079,2.76694410674,17.8155102041
6,6,6,13.2253365102,-24.6683915826,-31.2245453367,3.59904238266,20.9211791383
7,7,7,8.321949508,-29.5717785849,-35.3541265011,2.80998779033,24.0094331066
8,8,8,8.77125550111,-29.1224725918,-33.9732281165,2.2789391428,27.8465306122
9,9,9,4.14138917115,-33.7523389217,-37.3971529028,1.65736249504,30.1975510204
10,10,10,8.68438257008,-29.2093455228,-33.0996163717,1.05077790614,33.0071655329
11,11,11,7.18146528625,-30.7122628066,-35.0858043883,2.04189290295,36.2927891156
