,Unnamed: 0,Unnamed: 0.1,env_delta,env_max,env_mean,env_std,time
0,0,0.0,6.35080699928,-38.0007089792,-43.4720876019,1.18185451597,1.72988662132
1,1,1.0,5.42016700709,-38.9313489714,-43.3586175516,1.15364333057,5.65986394558
2,2,2.0,7.09518639732,-37.2563295811,-43.0538221465,1.42976580079,10.0948752834
3,3,3.0,8.35333586161,-35.9981801168,-42.804455527,1.70141509566,15.0755555556
4,4,4.0,8.98548237765,-35.3660336008,-43.4352251637,1.85928499291,22.4072562358
5,5,5.0,6.56136578632,-37.7901501921,-43.4530001514,1.31315884957,26.2501587302
6,6,6.0,7.76972963412,-36.5817863443,-44.0013253873,1.57972492101,33.1464852608
7,7,7.0,9.24662726302,-35.1048887154,-43.375664624,2.37696801684,36.3682539683
8,8,8.0,4.52464603928,-39.8268699392,-44.34264127,0.767027765591,39.6829024943
9,9,,,,,,18.5621307065
10,10,,,,,,30.113671275
11,11,,,,,,42.5017027121
