,env_delta,env_max,env_mean,env_std,time
0,25.5218005496,-18.1188969365,-35.1346730076,5.64457881434,2.00272108844
1,27.5538490389,-16.0868484472,-34.0390209569,5.77405214291,9.73496598639
2,22.0673921159,-21.5733053702,-36.3925171273,5.22527884574,17.3278911565
3,24.250087928,-19.390609558,-37.19466836,5.76346480653,24.5260770975
4,23.6417961059,-19.9989013801,-35.4572282455,5.64517205957,31.4630385488
5,27.7049202667,-15.9357772194,-38.1439375766,7.07997901652,38.5102947846
6,22.2459260509,-21.3947714352,-40.7048081631,5.3923438566,46.3702494331
7,24.7460054897,-18.8946919963,-40.7181912666,5.19883842192,52.6860770975
8,25.9492452328,-17.6914522532,-40.1085180478,6.90920135195,59.274739229
9,26.5000095585,-17.1406879276,-39.9364501571,6.80417045928,65.700861678
10,26.7658642085,-16.8748332775,-41.1462870255,6.66730254449,71.7728798186
11,18.7190960353,-24.9216014507,-41.6051668312,4.39836617755,78.5995464853
