,env_delta,env_max,env_mean,env_std,time
0,14.7799495345,-26.4036263264,-29.5813592515,1.46860686277,2.93732426304
1,16.1188490862,-25.0647267747,-28.3381540811,1.6717667831,9.93814058957
2,17.3216953305,-23.8618805304,-28.75221071,1.46484705962,16.8867120181
3,16.1600537656,-25.0235220953,-28.592511787,1.60995616093,23.8875283447
4,22.6471313876,-18.5364444733,-26.1558270675,2.4525729829,30.7490249433
5,22.6618396821,-18.5217361788,-21.495853354,1.78070375061,37.2215873016
6,25.3781374444,-15.8054384165,-22.5480950121,2.45997533779,44.0308390023
7,17.4075478621,-23.7760279987,-26.6085950582,1.26225538856,50.5324263039
8,18.3071567258,-22.8764191351,-25.6452179586,1.38167801376,57.9395918367
9,19.840361072,-21.3432147889,-24.9667943157,1.92567431089,65.3757823129
10,18.3376515619,-22.8459242989,-28.0771113739,2.51895523575,72.2488888889
11,21.4700319634,-19.7135438975,-22.4970107377,1.38277751221,79.6038095238
