,Unnamed: 0,env_delta,env_max,env_mean,env_std,time
0,0,10.338453952788866,-33.80195501117501,-41.53484203969756,2.9156370716523616,2.2175056689342405
1,1,15.880068842801965,-28.260340121161914,-40.17358570776874,4.813249749662887,7.691609977324263
2,2,16.524666921978465,-27.615742041985413,-41.38543289258554,4.557679151409513,12.863854875283446
3,3,12.096253819748915,-32.04415514421496,-42.75663665503925,3.4103777463874687,18.819773242630387
4,4,13.653236972399723,-30.487171991564153,-43.27771700111361,3.1959997338884647,24.259047619047614
5,5,19.15732606145627,-24.98308290250761,-40.861796903030964,5.293892287078436,28.72888888888889
6,6,18.78014537110786,-25.360263592856022,-42.639844859712454,4.3737789150076605,33.37287981859411
7,7,19.65635169899192,-24.484057264971963,-42.10335340287267,4.522932767481209,38.005260770975056
8,8,16.684174418538774,-27.456234545425104,-42.07578415744394,4.085845633469712,43.03238095238096
9,9,16.036462371803673,-28.10394659216021,-42.43733093014247,4.4209884173352405,48.12916099773243
10,10,9.715856824393676,-34.424552139570196,-43.6629330849858,2.4031317972760116,52.67446712018141
11,11,4.317199941778341,-39.82320902218554,-44.52698550600233,0.6155442842293556,57.533242630385494
