,Unnamed: 0,env_delta,env_max,env_mean,env_std,time
0,0,4.298065174614301,-38.84470056327348,-41.90339692983229,1.5559120658206402,2.205895691609977
1,1,3.832129854139112,-39.31063588374867,-42.09455715750326,1.5414480576177645,6.5364172335600905
2,2,4.3943964276571705,-38.74836931023061,-42.05569616507057,1.6244298257283027,10.756643990929703
3,3,4.0032552514960935,-39.139510486391686,-41.9722691254484,1.5219829369845683,14.924625850340135
4,4,4.393887082677273,-38.74887865521049,-41.48973050071725,1.4927980120035365,19.127437641723358
5,5,5.514729541751657,-37.628036196136115,-40.738037982321,1.544100882225488,23.457959183673466
6,6,4.34660397827102,-38.79616175961676,-41.19242018583654,1.3076595475107318,27.765260770975054
7,7,4.939222926410643,-38.203542811477135,-40.420792827309256,1.2940147722071569,31.944852607709752
8,8,5.162592743530183,-37.9801729943576,-40.157862108368995,1.2397212039137553,36.22893424036281
9,9,6.196443050932274,-36.94632268695551,-39.07830116842153,1.1773825955835335,40.338866213151924
10,10,6.834533615699088,-36.308232122188684,-38.386605879093615,1.1312966117988794,44.344308390022675
11,11,6.930996436811768,-36.211769301076004,-38.54235250584346,1.2250060375390668,48.51809523809524
