,Unnamed: 0,Unnamed: 0.1,env_delta,env_max,env_mean,env_std,time
0,0,0,14.5397934584,-28.9664555387,-38.6316244286,3.28331279925,2.03174603175
1,1,1,16.4980037541,-27.008245243,-37.8904432581,3.2632849305,7.90058956916
2,2,2,12.6619074013,-30.8443415958,-39.8090837216,2.34599948407,12.834829932
3,3,3,16.1564234157,-27.3498255814,-39.4770674757,2.45075852794,18.5121088435
4,4,4,13.4477557823,-30.0584932148,-41.9022828389,2.4820458647,24.5028571429
5,5,5,15.2764847671,-28.22976423,-36.7816201802,2.43379964059,29.843446712
6,6,6,16.4409115146,-27.0653374825,-37.7445958379,3.24499942889,35.3407709751
7,7,7,16.0527954413,-27.4534535558,-37.919865963,3.69171401391,40.7219954649
8,8,8,17.9328047692,-25.5734442279,-39.2398689739,5.82724803245,45.6794557823
9,9,9,12.851261018,-30.6549879791,-40.786633229,3.57615741887,50.4221315193
10,10,10,9.86170353335,-33.6445454637,-43.1992032303,2.09135676513,54.996462585
11,11,11,5.32469921522,-38.1815497819,-43.8190812239,1.43112192881,58.9264399093
